ITEM,SUPPLIER,BRANCH,AMOUNT,CLASS,ASSIGNED
"Tablet 8"" Insignia Flex",Metro North Gas,MOR,"3,000.00",,1
Melaware Round Casserole ,Gatch Tan Rice,MOR,300,,1
Rice 5kg,Gatch Tan Rice,MOR,200,,1
"Fan Stand 18"" Nikon CSF-1609C",Dimax,MOR,"1,200.00",,1
Grocery Pack,Earth H2O Water Tube Ice,SGD,250,,1
Bath Towel,Beth Burgos,SGD,100,,2
Tumbler,Beth Burgos,SGD,100,,2
"Fan Stand Industrial Mitsutech 16""",Beth Burgos,AFC,"2,000.00",,3
Refrigerator 5.6cu. Condura CS 171SA ,Beth Burgos,AFC,"20,000.00",,1
Washing Machine Sharp Gigawash,Beth Burgos,AFC,"8,000.00",,1
"Fan Desk 12"" Eureka EDF-12ECO",Beth Burgos,AFC,700,,16
Rice Cooker Hanabishi 1.5L HHRC-15HYP,Beth Burgos,AFC,"1,000.00",,2
"Fan Desk 16"" Airmax",Beth Burgos,AFC,800,,12
Washing Machine Single Tub Fujidenzo JW-S680,Beth Burgos,AFC,"3,400.00",,1
Beverage Dispenser with 4pc Mason Jar ,Beth Burgos,AFC,800,,13
Rice Cooker Extreme XRC-8W,TRL Meat Dealer,AFC,"1,000.00",,16
Flat Iron Nova NFI-129,Sonza Trading,AFC,400,,1
Blender Eureka EEB-1.25L,Sonza Trading,AFC,"1,300.00",,1
Washing Machine Single Tub Hanabishi HWM-162,Tebeemini Corporation,AFC,"5,000.00",,1
Rice 5kg,Gatch Tan Rice,GRN,200,,1
Serving Plate Food Container Microwavable UTD,Gatch Tan Rice,GRN,400,,1
Pitcher & Glassware Home Gallery,Gatch Tan Rice,MAR,200,,1
Rectangular Glass Bake Dish Vendome,Gatch Tan Rice,ATC,400,,1
"Fan Desk 16"" Fukuda",Gatch Tan Rice,ATC,"1,000.00",,1
"Fan Desk 16"" Fukuda",Gatch Tan Rice,MAR,"1,000.00",,1
Water Jug Insulated Cooler Orocan 12L,ASC Ice,MAR,800,,1
Gas Stove Double Burner Shine,Olongapo Gas,SUB,900,,1
Dish Rack,MJV Industries,GRN,200,,1
Fan Stand Camel CSF-1609C,Dimax,GRN,"1,100.00",,1
Washing Machine 7.8kg Eureka EWM-780S,Eric Manaog,AFC,"3,500.00",,2
"Fan Stand 16"" Union UGSF-1635R",Eric Manaog,AFC,"2,000.00",,5
Electric Stove Astron ES-173,Eric Manaog,AFC,700,,8
Electric Stove Fukuda FES-27C,Eric Manaog,AFC,550,,2
"LED TV 32"" Promac LED-H3282M",Eric Manaog,AFC,"8,000.00",,2
"Fan Desk 12"" Eureka EDF-12ECO",Beth Burgos,MAR,700,,1
Bath Towel,Beth Burgos,MAR,100,,1
Tumbler,Beth Burgos,MAR,100,,3
Tumbler,Beth Burgos,NOR,100,,2
Bath Towel,Beth Burgos,NOR,100,,2
Cash P500,Russel Diaz,CMC,500,,1
"Cash P1,500",Virginia Javier,CMC,"1,500.00",,1
"Cash P1,500",Virginia Javier,CAB,"1,500.00",,1
Cash P300,Virgilio Vegetable,CAB,300,,1
Cash P300,Virgilio Vegetable,CMC,300,,1
Cash P500,Gapan Ice Plant,CMC,500,,1
Flat Iron Camel CFI-1010,Gatch Tan Rice,BAL,"1,000.00",,1
Electric Kettle Nova NMK-150B,Santana Enterprise,SOU,700,,1
Tumbler,Beth Burgos,WVA,100,,3
Bath Towel,Beth Burgos,WVA,100,,2
Melaware Round Casserole ,Gatch Tan Rice,WVA,300,,1
