ITEM,SUPPLIER,BRANCH,AMOUNT,CLASS,ASSIGNED
Serving Plate Food Container Microwavable UTD,Gatch Tan Rice,DAS,400,2,1
Flat Iron Tough Mama,Gatch Tan Rice,GLV,400,2,1
Electric Kettle Camel CK-1000,Gatch Tan Rice,SLE,400,2,1
Serving Plate Food Container Microwavable UTD,Gatch Tan Rice,GRN,400,2,1
Rectangular Glass Bake Dish Vendome,Gatch Tan Rice,ATC,400,2,1
Electric Kettle Nova NK-180S,Rheign Daryl Enterprise,CAV,400,2,10
Electric Kettle Eureka,Sofia Seafood,HFT,400,2,1
Electric Kettle Nova NK-180S,Sofia Seafood,STG,400,2,1
Flat Iron Nova NFI-129,Sonza Trading,AFC,400,2,1
Melaware Rectagular Casserole with Cover,Gatch Tan Rice,GTR,350,3,1
Melaware Rectagular Casserole with Cover,Gatch Tan Rice,TAG,350,3,1
Melaware Rectangular Casserole with Cover,Gatch Tan Rice,HCB,350,3,1
Melaware Round Casserole ,Gatch Tan Rice,VSP,300,3,1
Melaware Round Casserole ,Gatch Tan Rice,SDH,300,3,1
Melaware Round Casserole ,Gatch Tan Rice,HFT,300,3,1
Melaware Round Casserole ,Gatch Tan Rice,MOR,300,3,1
Melaware Round Casserole ,Gatch Tan Rice,WVA,300,3,1
Dinner Set 12pc Florence,New Sin Kian Heng,AFC,300,3,1
Cash P300,Virgilio Vegetable,CAB,300,3,1
Cash P300,Virgilio Vegetable,CMC,300,3,1
Grocery Pack,Earth H2O Water Tube Ice,SGD,250,3,1
Starter Set 12pc,Rheign Daryl Enterprise,CAV,250,3,10
Grocery Pack,Unilever,STG,250,3,1
Multi-Purpose Hand Tray,ASC Ice,STG,200,3,1
Multi-Purpose Hand Tray,ASC Ice,HFT,200,3,1
Coinbank,Gasul,ANO,200,3,1
Pitcher & Glassware Home Gallery,Gatch Tan Rice,MOA,200,3,1
Rice 5kg,Gatch Tan Rice,SGD,200,3,1
Rice 5kg,Gatch Tan Rice,DCC,200,3,1
Rice 5kg,Gatch Tan Rice,DIS,200,3,1
Rice 5kg,Gatch Tan Rice,VSP,200,3,1
Rice 5kg,Gatch Tan Rice,GTR,200,3,1
Rice 5kg,Gatch Tan Rice,GLV,200,3,1
Rice 5kg,Gatch Tan Rice,HCB,200,3,1
Rice 5kg,Gatch Tan Rice,TRI,200,3,1
Rice 5kg,Gatch Tan Rice,SLE,200,3,1
Bowl 1pc Tampere,Gatch Tan Rice,DIS,200,3,1
Rice 5kg,Gatch Tan Rice,HFT,200,3,1
Rice 5kg,Gatch Tan Rice,STG,200,3,1
Rice 5kg,Gatch Tan Rice,MOR,200,3,1
Rice 5kg,Gatch Tan Rice,GRN,200,3,1
Pitcher & Glassware Home Gallery,Gatch Tan Rice,MAR,200,3,1
Glass 4pc Classic Juice Essential,Medina Ice,CAV,200,3,1
Dish Rack,MJV Industries,GRN,200,3,1
Bath Soap,Office,AFC,200,3,104
Softdrinks in Can,Pepsi Cola,AFC,200,3,20
Round Storage Set 3pc,Prime Source,MIL,150,3,1
Tumbler,Beth Burgos,ANO,100,3,2
Bath Towel,Beth Burgos,ANO,100,3,2
Bath Towel,Beth Burgos,TRI,100,3,2
Tumbler,Beth Burgos,TRI,100,3,2
Bath Towel,Beth Burgos,SGD,100,3,2
Tumbler,Beth Burgos,SGD,100,3,2
Bath Towel,Beth Burgos,MAR,100,3,1
Tumbler,Beth Burgos,MAR,100,3,3
Tumbler,Beth Burgos,North Area,100,3,2
Bath Towel,Beth Burgos,North Area,100,3,2
Tumbler,Beth Burgos,WVA,100,3,3
Bath Towel,Beth Burgos,WVA,100,3,2
Umbrella,Sofia Seafood,STG,100,3,1
